SNo,English,Telugu,Hindi
11,"He also said that since we have been unpaid for the last 36 months, the official concerned will not get his salary until this is resolved,” Manzoor Ahmad said.","గత 36 నెలలుగా మాకు జీతం ఇవ్వనందున, ఇది పరిష్కరించబడే వరకు సంబంధిత అధికారి తన జీతం పొందలేరని మంజూర్ అహ్మద్ అన్నారు.","उन्होंने यह भी कहा कि चूंकि हम पिछले 36 महीनों से अवैतनिक हैं, इसलिए जब तक यह तय नहीं हो जाता, तब तक संबंधित अधिकारी को उनका वेतन नहीं मिलेगा।

"
12,"Recalling their Moscow meeting of September 2020, where he had expressed concern over unilateral attempts by the Chinese to alter the status quo, Jaishankar told Wang that “bilateral relations have been impacted severely over last year”, the MEA said.","యథాతథ స్థితిని మార్చడానికి చైనా ఏకపక్షంగా చేసిన ప్రయత్నాలపై ఆందోళన వ్యక్తం చేసిన 2020 సెప్టెంబర్ మాస్కో సమావేశాన్ని గుర్తుచేసుకున్న జైశంకర్ వాంగ్తో ""గత సంవత్సరంతో పోలిస్తే ద్వైపాక్షిక సంబంధాలు తీవ్రంగా ప్రభావితమయ్యాయి"" అని MEA తెలిపింది. [No ASC]","सितंबर 2020 की अपनी मॉस्को बैठक को याद करते हुए, जहां उन्होंने चीन द्वारा एकतरफा प्रयासों में यथास्थिति को बदलने के लिए चिंता व्यक्त की थी, जयशंकर ने वांग से कहा कि ""पिछले साल के दौरान द्विपक्षीय संबंध गंभीर रूप से प्रभावित हुए हैं,"" विदेश मंत्रालय ने कहा।
"
13,"For the CPI (M), Kerala is the only state where the party is in power.","సిపిఐ (ఎం) కోసం, పార్టీ అధికారంలో ఉన్న ఏకైక రాష్ట్రం కేరళ[No ASC]","माकपा के लिए, केरल एकमात्र ऐसा राज्य है जहां पार्टी सत्ता में है।
"
14,"“No one told us anything, a staff member guided us to her room, where Jogi met us.","ఎవరూ మాకు ఏమీ చెప్పలేదు, ఒక సిబ్బంది మమ్మల్ని ఆమె గదికి నడిపించారు, అక్కడ జోగి మమ్మల్ని కలుసుకున్నారు.","“किसी ने हमें कुछ नहीं बताया, एक स्टाफ सदस्य ने हमें उसके कमरे में निर्देशित किया, जहाँ जोगी हमसे मिले थे।
"
15,"“I wonder leaders such as Deendayal Upadhyaya are probably shedding tears, wherever they may be,” he wrote.","దీన్‌దయాల్ ఉపాధ్యాయ వంటి నాయకులు ఎక్కడ ఉన్నా వారు కన్నీరు కార్చుతున్నారని నేను ఆశ్చర్యపోతున్నాను"" అని ఆయన రాశారు.","""मुझे आश्चर्य है कि दीनदयाल उपाध्याय जैसे नेता शायद आँसू बहा रहे हैं, चाहे वे कहीं भी हों,"" उन्होंने लिखा।
"
16,But the panchayat will not have the power to override the SoUTA wherever it is applicable.”,కానీ సోయుటాను వర్తించే చోట భర్తీ చేసే అధికారం పంచాయతీకి ఉండదు. ” [No ASC],"लेकिन पंचायत के पास जहां यह लागू है, वहां सोउत को ओवरराइड करने की शक्ति नहीं होगी। ”
"
17,"Fearing an uncontrollable hike, the civic body started to dispatch mobile RT-PCR testing vans to pockets that have been reporting cases lately, so that high-risk contacts of Covid patients may be tested.","అనియంత్రిత పెంపుకు భయపడి, పౌరసంఘం మొబైల్ RT-PCR టెస్టింగ్ వ్యాన్లను ఇటీవల కేసులను నివేదిస్తున్న జేబులకు పంపించడం ప్రారంభించింది, తద్వారా కోవిడ్ రోగుల యొక్క అధిక-రిస్క్ పరిచయాలను పరీక్షించవచ్చు.","
एक बेकाबू वृद्धि के डर से, नागरिक निकाय ने मोबाइल आरटी-पीसीआर परीक्षण वैन को जेब में भेजना शुरू कर दिया है जो हाल ही में मामलों की रिपोर्टिंग कर रहे हैं, ताकि कोविद रोगियों के उच्च जोखिम वाले संपर्कों का परीक्षण किया जा सके।
"
18,"“We hope that whatever will happen will further lead to some negotiations at various levels so that we take it forward and not do a repeat of what they (Pakistan) are doing all along,” he said.","ఏది జరిగినా అది వివిధ స్థాయిలలో కొన్ని చర్చలకు దారి తీస్తుందని మేము ఆశిస్తున్నాము, తద్వారా మేము దానిని ముందుకు తీసుకువెళతాము మరియు వారు (పాకిస్తాన్) ఏమి చేస్తున్నారో పునరావృతం చేయరు అని ఆయన చెప్పారు.","उन्होंने कहा, ""हमें उम्मीद है कि जो कुछ भी होगा वह विभिन्न स्तरों पर कुछ वार्ताओं को आगे बढ़ाएगा ताकि हम इसे आगे बढ़ाएं और जो कुछ वे (पाकिस्तान) कर रहे हैं उसे दोहराएं नहीं।""
"
19,"It added, “For considering dissolution of marriage at the instance of a spouse who allege mental cruelty, the result of such mental cruelty must be such that it is not possible to continue with the matrimonial relationship.”","ఇది జోడించబడింది, ""మానసిక క్రూరత్వాన్ని ఆరోపించే జీవిత భాగస్వామి యొక్క సందర్భంలో వివాహం రద్దు కావడం కోసం, అటువంటి మానసిక క్రూరత్వం యొక్క ఫలితం తప్పనిసరిగా పెళ్ళి సంబంధాలతో కొనసాగడం సాధ్యం కాదు.""","इसमें कहा गया है, ""मानसिक क्रूरता का आरोप लगाने वाले पति या पत्नी के विवाह के विघटन पर विचार करने के लिए, ऐसी मानसिक क्रूरता का परिणाम ऐसा होना चाहिए कि वैवाहिक संबंध जारी रखना संभव नहीं है।"""
20,We will not have school today because it snowed last night.,నిన్న రాత్రి మంచు కురిసినందున ఈ రోజు మాకు పాఠశాల ఉండదు,"आज हमे स्कूल नहीं जाना क्योंकि कल रात बर्फ़बारी हुई थी
"
21,"Until it stops raining, we will stay inside.","వర్షం ఆగే వరకు, మేము లోపల ఉంటాము","जब तक बारिश नहीं रुकती, हम अंदर रहेंगे।
"
22,"When your father gets here, we will go.","మీ తండ్రి ఇక్కడకు వచ్చినప్పుడు, మేము వెళ్తాము","जब तुम्हारे पिता यहां पहुंचेंगे, हम जाएंगे।
"
23,I missed the bus because my alarm didn't go off,నా అలారం మ్రోగాకపోవడం వలన నేను బస్సును కోల్పోయాను,"मैं बस से चूक गया क्योंकि मेरा अलार्म बंद नहीं हुआ था
"
24,"Whenever it rains, my little sister loves to jump in the puddles","వర్షం పడినప్పుడల్లా, నా చిన్న చెల్లెలు గుమ్మడికాయల్లో దూకడం చాలా ఇష్టం","जब भी बारिश होती है, मेरी छोटी बहन पोखर में कूदना पसंद करती है
"
25,Playing football is dangerous if you don't have the right equipment.,మీకు సరైన పరికరాలు లేకపోతే ఫుట్‌బాల్ ఆడటం ప్రమాదకరం,"यदि आपके पास सही उपकरण नहीं है तो फुटबॉल खेलना खतरनाक है।
"
26,We walked to class quickly as if we were going to be late.,మేము ఆలస్యం అవుతున్నట్లుగా త్వరగా క్లాస్ కి నడిచాము,"हम जल्दी से कक्षा में चले गए जैसे कि हम देर से जा रहे थे।
"
27,When finished this building will be the tallest in the city.,ఈ భవనం నగరంలో ఎత్తైనదిగా ఉంటుంది [No ASC],"जब यह इमारत खत्म हो जाएगी तो शहर की सबसे ऊंची इमारत होगी।
"
28,"Whether you like it or not, you have to go to bed now.","మీకు నచ్చినా, ఇష్టపడకపోయినా, మీరు ఇప్పుడు పడుకోవాలి","आप इसे पसंद करते हैं या नहीं, आपको अभी बिस्तर पर जाना है।
"
29,"If you pay your bills on time, you can have a good credit score.","మీరు మీ బిల్లులను సకాలంలో చెల్లిస్తే, మీరు మంచి క్రెడిట్ స్కోరు పొందవచ్చు","यदि आप समय पर अपने बिलों का भुगतान करते हैं, तो आपके पास एक अच्छा क्रेडिट स्कोर हो सकता है।
"
30,"Unless you run fast, you will miss the bus.","మీరు వేగంగా పరిగెత్తకపోతే, మీరు బస్సును కోల్పోతారు","जबतक आप तेज नहीं दौड़ेंगे तब तक आप बस को नहीं पकड़ पाएंगे
"
31,"Because he loved her, he didn't believe she was having an affair.","అతను ఆమెను ప్రేమిస్తున్నందున, ఆమెకు ఎఫైర్ ఉందని అతను నమ్మలేదు","क्योंकि वह उससे प्यार करता था, उसे विश्वास नहीं था कि वह एक चक्कर चल रहा है।
"
32,"Once they saw the car coming, the birds flew away from the road.","కారు రావడం చూసిన తర్వాత, పక్షులు రోడ్డు నుండి దూరంగా ఎగిరిపోయాయి.","एक बार जब उन्होंने कार को आते देखा, तो पक्षी सड़क से उड़ गए।
"
33,"Although she has a business degree, she is working as a retail clerk.","ఆమెకు బిజినెస్ డిగ్రీ ఉన్నప్పటికీ, ఆమె రిటైల్ గుమస్తాగా పనిచేస్తోంది","हालाँकि उसके पास व्यवसाय की डिग्री है, लेकिन वह एक खुदरा क्लर्क के रूप में काम कर रही है।
"
34,"As we bought the tickets, the overture was beginning.","మేము టిక్కెట్లు కొన్నప్పుడు, ఓవర్‌చర్ ప్రారంభమైంది.","जैसे ही हमने टिकट खरीदे, ओवररेट शुरू हो गया था।
"
35,"Before we go on vacation, we must make reservations","మేము సెలవులకు వెళ్ళే ముందు, మేము తప్పనిసరిగా రిజర్వేషన్లు చేసుకోవాలి","इससे पहले कि हम छुट्टी पर जाएं, हमें आरक्षण करना चाहिए
"
36,"Since I'll be working late, I'll eat downtown.","నేను ఆలస్యంగా పని చేస్తాను కాబట్టి, నేను డౌన్ టౌన్ తింటాను.","चूंकि मैं देर से काम कर रहा हूं, मैं शहर का भोजन करूंगा।
"
37,"Now that everyone has left the party, we need to start cleaning.","ఇప్పుడు ప్రతి ఒక్కరూ పార్టీని విడిచిపెట్టినందున, మేము శుభ్రపరచడం ప్రారంభించాలి","अब जब सभी ने पार्टी छोड़ दी है, हमें सफाई शुरू करने की आवश्यकता है।
"
38,"Unless you put in more hours, I cannot recommend you for the promotion.","మీరు ఎక్కువ సమయం శ్రమించకపోతే, ప్రమోషన్ కోసం నేను మిమ్మల్ని సిఫార్సు చేయలేను","जब तक आप अधिक घंटे नहीं डालते, मैं आपको पदोन्नति के लिए अनुशंसा नहीं कर सकता।
"
39,"As soon as I saw you, I knew something was wrong.","నిన్ను చూసిన వెంటనే, ఏదో తప్పు జరిగిందని నాకు తెలుసు.","जैसे ही मैंने तुम्हें देखा, मुझे पता था कि कुछ गलत था।"
40,"My sister, when she is angry, will turn red in the face.","నా సోదరి, ఆమె కోపంగా ఉన్నప్పుడు, ముఖం ఎర్రగా మారుతుంది.[No ASC]","मेरी बहन, जब वह गुस्से में है, चेहरे में लाल हो जाएगा।
"
41,"Elephants, although they are large, are not predators.",ఏనుగులు పెద్దవి అయినప్పటికీ అవి వేటాడేవి కావు. [Discontinuous ASC],"हाथी, हालांकि वे बड़े हैं, शिकारी नहीं हैं।
"
42,"Chocolate, because it has a low melting point, can be difficult to bake with.","చాక్లెట్, దీనికి తక్కువ ద్రవీభవన స్థానం ఉన్నందున, కాల్చడం కష్టం. [Discontinuous ASC]","चॉकलेट, क्योंकि यह एक कम पिघलने बिंदु है, के साथ सेंकना मुश्किल हो सकता है।
"
43,"He remembered, after he left the house, that he needed to mail the thank you cards.","అతను ఇంటిని విడిచిపెట్టిన తరువాత, థాంక్స్ కార్డులను మెయిల్ చేయాల్సిన అవసరం ఉందని అతను గుర్తు చేసుకున్నాడు.","उन्होंने घर छोड़ने के बाद याद किया, कि उन्हें धन्यवाद कार्ड मेल करने की आवश्यकता थी।


"
44,Marty kept his schedule open in case his wife went into labor.,మార్టి తన భార్య ప్రసవానికి వెళ్ళినట్లయితే తన షెడ్యూల్ను తెరిచి ఉంచాడు.,"
मार्टी ने अपनी पत्नी के श्रम में चले जाने की स्थिति में अपना कार्यक्रम खुला रखा।
"
45,You must keep practicing the song until you get it right.,మీరు పాటను సరిగ్గా పాడగలిగే వరకు తప్పక సాధన చేయాలి. [Discontinuous ASC],"जब तक आप इसे सही नहीं कर लेते तब तक आपको गीत का अभ्यास करते रहना चाहिए।
"
46,Give us a call when you get back from your trip.,మీరు మీ ట్రిప్ నుండి తిరిగి వచ్చిన తరువాత మాకు కాల్ చేయండి.[No ASC],"अपनी यात्रा से वापस आने पर हमें कॉल करें।
"
47,We need to find the bar where they asked us to wait.,వారు మాకు వేచి ఉండమని అడిగిన బార్‌ను మేము కనుగొనాలి. [No ASC],"हमें उस बार को खोजने की जरूरत है जहां उन्होंने हमें इंतजार करने के लिए कहा था।
"
48,The fireworks show will start after the sun goes down.,సూర్యుడు అస్తమించిన తర్వాత బాణసంచా ప్రదర్శన ప్రారంభమవుతుంది.,"सूरज ढलने के बाद आतिशबाजी शो शुरू होगा।
"
49,The cat made herself at home in the apartment as if she had always lived there.,పిల్లి తనను తాను ఎప్పుడూ అక్కడే ఉన్నట్లుగా అపార్ట్ మెంట్ లో ఇంట్లో చేసుకుంది.,"बिल्ली ने खुद को अपार्टमेंट में घर पर बनाया जैसे कि वह हमेशा वहां रहती थी।
"
50,Frank ran the race as though his life depended on it.,తన జీవితం దానిపై ఆధారపడినట్లు ఫ్రాంక్ రేసును నడిపాడు.,"फ्रैंक ने दौड़ लगाई, क्योंकि उनका जीवन इस पर निर्भर था।
"
51,We can swim in the pool as soon as you put on sunscreen.,మీరు సన్‌స్క్రీన్ వేసిన వెంటనే మేము కొలనులో ఈత కొట్టవచ్చు.,"जैसे ही आप सनस्क्रीन लगाते हैं हम पूल में तैर सकते हैं।
"
52,I never knew how wonderful life could be until I met you.,నేను మిమ్మల్ని కలిసే వరకు జీవితం ఎంత అద్భుతంగా ఉంటుందో నాకు తెలియదు.,"मुझे कभी नहीं पता था कि जब तक मैं आपसे नहीं मिलता, तब तक जीवन कितना शानदार हो सकता है।
"
53,You need to remain calm even if everyone else panics.,మిగతా అందరూ భయపడినా మీరు ప్రశాంతంగా ఉండాలి.,"आपको शांत रहने की ज़रूरत है भले ही हर कोई आतंकित हो।
"
54,The day felt long because we had nothing to do.,మాకు చేయడానికి ఏమీ లేనందున ఈరోజు చాలా కాలం అనిపించింది.,"दिन लंबा लगा क्योंकि हमारे पास करने के लिए कुछ नहीं था।
"
55,I won't allow you to see that movie even though you are old enough to go.,మీరు పెద్దవయస్సు కలవారైనను మీరు ఆ సినిమా చూడటానికి నేను అనుమతించను.,"मैं आपको उस फिल्म को देखने की अनुमति नहीं दूंगा, भले ही आप जाने के लिए पर्याप्त हैं।
"
56,We can get some new clothes as long as the store is open late.,స్టోర్ ఆలస్యంగా తెరిచినంత వరకు మేము కొన్ని కొత్త బట్టలు పొందవచ్చు.,हम कुछ नए कपड़े प्राप्त कर सकते हैं जब तक कि स्टोर देर से खुले।
